time,L_theta_total,L_phi_total,mean_theta_dot,mean_phi_dot,L_theta_ring0,omega_theta_ring0,L_theta_ring1,omega_theta_ring1,L_theta_ring2,omega_theta_ring2,L_theta_ring3,omega_theta_ring3,rel_omega_theta,rel_omega_phi
50.0000,-387.037426,-13.257976,-0.389586,-0.132580,-165.395614,-0.510059,-223.882371,-0.278040,0.000000,0.000000,0.000000,0.000000,0.232019,-1.888613
50.0250,-110.393472,242.370106,-0.670424,2.423701,-602.167719,-2.216096,491.774246,0.829562,0.000000,0.000000,0.000000,0.000000,3.045658,3.979752
50.0500,-29.108505,218.862969,0.341236,2.188630,387.241290,1.362830,-416.349795,-0.592374,0.000000,0.000000,0.000000,0.000000,-1.955205,1.672273
50.0750,60.886369,143.723753,0.209839,1.437238,-134.857237,-0.039053,104.394143,0.125392,0.000000,0.000000,0.000000,0.000000,0.164445,0.490622
50.1000,427.529114,-108.749524,0.447925,-1.087495,-173.350066,-0.635835,445.423814,0.820280,0.000000,0.000000,0.000000,0.000000,1.456115,1.175290
50.1250,680.570465,52.119565,0.698103,0.521196,0.786799,-0.246548,113.646788,1.241205,-18.139894,0.015211,0.000000,0.000000,1.487753,10.552438
50.1500,632.056872,35.082015,0.319671,0.350820,32.007309,0.281637,-99.899369,-1.370627,560.218492,1.842832,0.000000,0.000000,-1.652265,0.668924
50.1750,-42.604124,-7.477014,0.591428,-0.074770,544.730959,2.026082,-631.325609,-0.934499,0.000000,0.000000,0.000000,0.000000,-2.960581,-4.279888
50.2000,-244.445023,25.720160,-0.369101,0.257202,-500.403162,-1.616372,255.958138,0.793814,0.000000,0.000000,0.000000,0.000000,2.410186,0.985637
50.2250,-401.218622,142.852357,-0.209348,1.428524,20.039018,0.513681,-421.257640,-0.883476,0.000000,0.000000,0.000000,0.000000,-1.397157,4.204229
50.2500,44.929610,-82.717938,-0.400555,-0.827179,-128.179014,-0.905337,264.669639,0.176007,0.000000,0.000000,0.000000,0.000000,1.081344,-6.825214
50.2750,-515.972102,-41.469699,-0.533926,-0.414697,-372.064021,-1.239847,-105.648119,0.294588,0.000000,0.000000,0.000000,0.000000,1.534434,-1.264695
50.3000,92.012575,128.064698,-0.107562,1.280647,49.964252,-0.366640,98.438361,0.217091,0.000000,0.000000,0.000000,0.000000,0.583731,0.632688
50.3250,154.841008,-177.828247,0.124649,-1.778282,-94.071257,-0.038201,314.654598,0.374494,0.000000,0.000000,0.000000,0.000000,0.412695,-6.237369
50.3500,-421.298782,-95.468596,-0.695588,-0.954686,-365.784482,-1.318448,48.973497,0.052710,0.000000,0.000000,0.000000,0.000000,1.371158,-5.085508
50.3750,-463.548717,-11.122569,-0.385693,-0.111226,-87.217766,-0.088355,-376.330951,-0.683031,0.000000,0.000000,0.000000,0.000000,-0.594675,-1.441007
50.4000,14.429558,134.686129,-0.084621,1.346861,-166.728110,-0.267535,181.157668,0.101988,0.000000,0.000000,0.000000,0.000000,0.369523,-4.033806
50.4250,-174.369873,-101.662300,-0.283526,-1.016623,-123.416700,-0.534626,-50.953172,-0.039848,0.000000,0.000000,0.000000,0.000000,0.494778,-6.837308
50.4500,751.082943,-98.544635,0.674782,-0.985446,-186.250796,-0.232936,874.517812,1.531820,0.000000,0.000000,0.000000,0.000000,1.764756,-3.343000
50.4750,682.499329,50.541320,0.790494,0.505413,-24.366861,-0.310664,144.467326,1.782773,207.601170,0.844716,0.000000,0.000000,2.093437,0.355246
50.5000,728.827206,54.007776,0.742740,0.540078,170.571467,0.533475,543.833873,0.952499,0.000000,0.000000,0.000000,0.000000,0.419024,2.034479
50.5250,-468.902151,186.486454,-0.505013,1.864865,-221.272822,-0.765132,-247.629329,-0.244894,0.000000,0.000000,0.000000,0.000000,0.520238,2.475946
50.5500,98.643504,217.273018,0.147013,2.172730,315.855173,1.014884,-274.305510,-0.764159,0.000000,0.000000,0.000000,0.000000,-1.779043,-0.707384
50.5750,166.252925,170.537886,0.311575,1.705379,155.063479,1.867668,351.870609,5.711163,-201.907573,-1.252393,0.000000,0.000000,3.843494,10.294046
50.6000,-184.992044,90.836263,-0.040486,0.908363,-187.342913,-0.442060,-104.797755,-0.111381,0.000000,0.000000,0.000000,0.000000,0.330679,-4.482048
50.6250,74.397118,-79.096355,0.640534,-0.790964,-15.299820,-0.154078,241.362684,2.953010,-73.453604,-0.202542,0.000000,0.000000,3.107088,-0.311109
50.6500,141.624007,-52.497779,0.412172,-0.524978,145.057366,0.470862,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.6750,-274.218291,-26.105476,-0.356248,-0.261055,58.549762,-0.141033,-346.605242,-0.644560,0.000000,0.000000,0.000000,0.000000,-0.503526,-1.987844
50.7000,-138.296202,-178.793736,-0.338726,-1.787937,-413.662115,-1.246238,256.852658,0.410116,0.000000,0.000000,0.000000,0.000000,1.656354,4.200290
